Équipe,# JC,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Angers,19,4.0,7,44,15,34.1,11.00,3.75,0.16,0.47,16.0,3,0,0,5.4,5.4,0.14,+1.6,+1.6
Bordeaux,22,4.0,3,45,17,37.8,11.25,4.25,0.07,0.18,20.9,2,0,0,2.6,2.6,0.06,+0.4,+0.4
Brest,16,4.0,5,46,20,43.5,11.50,5.00,0.11,0.25,14.8,1,0,0,4.4,4.4,0.10,+0.6,+0.6
Clermont Foot,17,4.0,7,68,26,38.2,17.00,6.50,0.10,0.27,15.3,2,0,0,8.7,8.7,0.13,-1.7,-1.7
Lens,20,4.0,7,56,24,42.9,14.00,6.00,0.13,0.29,16.9,3,0,0,6.7,6.7,0.13,+0.3,+0.3
Lille,20,4.0,5,51,18,35.3,12.75,4.50,0.10,0.28,16.6,2,0,0,5.3,5.3,0.11,-0.3,-0.3
Lorient,20,4.0,4,32,14,43.8,8.00,3.50,0.09,0.21,19.5,2,1,1,4.4,3.7,0.12,-0.4,-0.7
Lyon,21,4.0,5,58,21,36.2,14.50,5.25,0.07,0.19,15.7,1,1,1,7.9,7.2,0.13,-2.9,-3.2
Marseille,18,3.8,8,60,17,28.3,15.88,4.50,0.13,0.47,16.6,5,0,0,6.4,6.4,0.11,+1.6,+1.6
Metz,23,4.0,5,44,18,40.9,11.00,4.50,0.09,0.22,20.5,1,1,1,4.0,3.3,0.07,+1.0,+0.7
Monaco,23,4.0,3,44,11,25.0,11.00,2.75,0.07,0.27,15.6,2,0,0,5.3,5.3,0.13,-2.3,-2.3
Montpellier,18,4.0,8,60,19,31.7,15.00,4.75,0.13,0.42,18.3,4,0,0,6.0,6.0,0.10,+2.0,+2.0
Nantes,18,4.0,3,38,13,34.2,9.50,3.25,0.08,0.23,17.3,2,0,0,3.5,3.5,0.09,-0.5,-0.5
Nice,19,3.8,8,43,16,37.2,11.38,4.24,0.14,0.38,14.6,1,2,2,7.2,5.9,0.14,+1.8,+1.1
Paris S-G,22,4.0,11,51,18,35.3,12.75,4.50,0.22,0.61,17.2,2,0,0,6.2,6.2,0.12,+4.8,+4.8
Reims,20,4.0,4,49,17,34.7,12.25,4.25,0.08,0.24,17.0,0,0,0,4.5,4.5,0.10,-0.5,-0.5
Rennes,20,4.0,3,38,11,28.9,9.50,2.75,0.08,0.27,16.7,2,0,0,3.3,3.3,0.09,-0.3,-0.3
Saint-Étienne,22,4.0,5,53,17,32.1,13.25,4.25,0.08,0.24,18.6,0,1,1,4.8,4.1,0.08,+0.2,-0.1
Strasbourg,18,4.0,5,40,12,30.0,10.00,3.00,0.13,0.42,16.3,1,0,0,4.8,4.8,0.14,+0.2,+0.2
Troyes,19,4.0,2,43,17,39.5,10.75,4.25,0.05,0.12,17.7,0,0,0,3.6,3.6,0.08,-1.6,-1.6
