Équipe,# JC,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,26,5.0,2,74,16,21.6,14.80,3.20,0.03,0.13,17.7,3,0,0,6.1,6.1,0.09,-4.1,-4.1
Aston Villa,22,5.0,7,59,16,27.1,11.80,3.20,0.08,0.31,17.8,2,2,2,5.6,4.2,0.07,+1.4,+0.8
Brentford,20,5.0,5,46,11,23.9,9.20,2.20,0.09,0.36,16.8,1,1,1,6.5,5.7,0.12,-1.5,-1.7
Brighton,20,5.0,7,56,18,32.1,11.20,3.60,0.11,0.33,17.3,5,1,1,5.3,4.6,0.08,+1.7,+1.4
Burnley,17,5.0,3,64,18,28.1,12.80,3.60,0.05,0.17,15.1,1,0,0,5.8,5.8,0.09,-2.8,-2.8
Chelsea,21,5.0,12,73,26,35.6,14.60,5.20,0.16,0.46,16.4,4,0,0,7.6,7.6,0.11,+4.4,+4.4
Crystal Palace,18,5.0,5,50,10,20.0,10.00,2.00,0.08,0.40,15.7,2,1,1,4.8,4.1,0.08,+0.2,-0.1
Everton,22,5.0,10,68,24,35.3,13.60,4.80,0.12,0.33,17.3,3,2,2,8.1,6.6,0.10,+1.9,+1.4
Leeds United,19,5.0,5,71,22,31.0,14.20,4.40,0.07,0.23,18.2,0,0,0,7.0,7.0,0.10,-2.0,-2.0
Leicester City,21,5.0,5,45,13,28.9,9.00,2.60,0.11,0.38,15.8,0,0,0,5.5,5.5,0.12,-0.5,-0.5
Liverpool,21,5.0,12,125,38,30.4,25.00,7.60,0.09,0.29,15.2,2,1,1,14.5,14.2,0.12,-2.5,-3.2
Manchester City,20,5.0,10,99,27,27.3,19.80,5.40,0.10,0.37,15.4,3,0,0,12.2,12.2,0.12,-2.2,-2.2
Manchester Utd,20,5.0,13,79,30,38.0,15.80,6.00,0.16,0.43,17.4,2,0,0,7.6,7.6,0.10,+5.4,+5.4
Newcastle Utd,21,5.0,6,65,19,29.2,13.00,3.80,0.09,0.32,17.2,1,0,0,5.6,5.6,0.09,+0.4,+0.4
Norwich City,21,5.0,2,51,12,23.5,10.20,2.40,0.02,0.08,18.9,3,1,1,4.7,3.9,0.08,-2.7,-2.9
Southampton,18,5.0,3,56,15,26.8,11.20,3.00,0.04,0.13,17.8,3,1,1,6.3,5.5,0.11,-3.3,-3.5
Tottenham,21,5.0,3,47,18,38.3,9.40,3.60,0.04,0.11,17.7,4,1,1,4.6,3.8,0.08,-1.6,-1.8
Watford,22,5.0,6,50,19,38.0,10.00,3.80,0.12,0.32,17.7,1,0,0,4.7,4.7,0.10,+1.3,+1.3
West Ham,18,5.0,11,75,24,32.0,15.00,4.80,0.15,0.46,16.2,2,0,2,8.2,7.1,0.10,+2.8,+3.9
Wolves,18,5.0,1,81,19,23.5,16.20,3.80,0.01,0.05,17.8,2,0,0,7.0,7.0,0.09,-6.0,-6.0
