Équipe,# JC,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,22,4.0,4,51,13,25.5,12.75,3.25,0.06,0.23,15.5,3,1,1,5.9,5.1,0.10,-1.9,-2.1
Bologna,22,4.0,5,46,15,32.6,11.50,3.75,0.11,0.33,16.2,2,0,0,3.7,3.7,0.08,+1.3,+1.3
Cagliari,23,4.0,7,44,13,29.5,11.00,3.25,0.11,0.38,14.9,1,2,2,6.3,4.8,0.11,+0.7,+0.2
Empoli,21,4.0,3,64,16,25.0,16.00,4.00,0.03,0.13,18.1,3,1,1,5.7,4.9,0.08,-2.7,-2.9
Fiorentina,22,4.0,7,41,20,48.8,10.25,5.00,0.12,0.25,18.0,1,2,2,4.7,3.2,0.08,+2.3,+1.8
Genoa,25,4.0,5,35,12,34.3,8.75,3.00,0.11,0.33,19.5,2,1,1,3.8,3.0,0.09,+1.2,+1.0
Hellas Verona,23,4.0,6,38,10,26.3,9.50,2.50,0.13,0.50,16.1,1,1,1,4.5,3.7,0.10,+1.5,+1.3
Inter,23,4.0,15,59,30,50.8,14.75,7.50,0.25,0.50,14.0,1,0,0,7.1,7.1,0.12,+7.9,+7.9
Juventus,21,4.0,4,46,17,37.0,11.50,4.25,0.09,0.24,15.5,1,0,0,4.3,4.3,0.09,-0.3,-0.3
Lazio,22,4.0,11,60,27,45.0,15.00,6.75,0.17,0.37,16.9,2,1,2,6.8,5.3,0.09,+4.2,+4.7
Milan,22,4.0,8,61,13,21.3,15.25,3.25,0.11,0.54,19.6,2,1,2,7.6,6.0,0.10,+0.4,+1.0
Napoli,22,4.0,10,67,25,37.3,16.75,6.25,0.13,0.36,18.3,5,1,2,5.5,4.0,0.06,+0.5,+1.0
Roma,20,4.0,10,72,23,31.9,18.00,5.75,0.14,0.43,16.2,0,0,0,8.3,8.3,0.12,+1.7,+1.7
Salernitana,23,4.0,2,33,6,18.2,8.25,1.50,0.03,0.17,17.7,1,1,1,3.1,2.3,0.07,-1.1,-1.3
Sampdoria,19,4.0,5,56,15,26.8,14.00,3.75,0.09,0.33,18.1,4,0,0,4.8,4.8,0.09,+0.2,+0.2
Sassuolo,19,4.0,4,61,21,34.4,15.25,5.25,0.07,0.19,18.0,4,0,0,5.2,5.2,0.09,-1.2,-1.2
Spezia,23,4.0,5,48,14,29.2,12.00,3.50,0.10,0.36,21.8,2,0,0,3.3,3.3,0.06,+1.7,+1.7
Torino,22,4.0,7,59,17,28.8,14.75,4.25,0.12,0.41,15.6,1,0,0,5.6,5.6,0.10,+1.4,+1.4
Udinese,19,4.0,6,50,20,40.0,12.50,5.00,0.10,0.25,16.8,1,1,1,5.4,4.8,0.10,+0.6,+0.2
Venezia,26,4.0,3,43,13,30.2,10.75,3.25,0.07,0.23,17.4,2,0,0,4.0,4.0,0.09,-1.0,-1.0
